,Source/Sink,Origin,Description,Code,Questions/Comments,Return,Parameters,ApiLevel
<android.nfc.tech.NdefFormatable: NdefFormatable get(Tag)>,source,dsafe,"Get an instance of NdefFormatable for the given tag. Does not cause any RF activity and does not block. Returns null if NdefFormatable was not enumerated in Tag#getTechList .
 This indicates the tag is not NDEF formatable by this Android device.","    public static NdefFormatable get(Tag tag) {
        if (!tag.hasTech(TagTechnology.NDEF_FORMATABLE)) return null;
        try {
            return new NdefFormatable(tag);
        } catch (RemoteException e) {
            return null;
        }
    }",Not sure why this is a source. What's sensitive here?,NdefFormatable NDEF formatable object |||,tag Tag : an NDEF formatable tag |||,10
<android.text.StaticLayout: int getTopPadding()>,source,dsafe,"Returns the (negative) number of extra pixels of ascent padding in the
 top line of the Layout.","    public int getTopPadding() {
        return mTopPadding;
    }",Def don't know what's sensitive here (if we're saying general screen info isn't sensitive),int |||,,1
<android.widget.TextView: MovementMethod getMovementMethod()>,source,dsafe,"Gets the MovementMethod being used for this TextView
 which provides positioning scrolling and text selection functionality.
 This will frequently be null for non-EditText TextViews.","    public final MovementMethod getMovementMethod() {
        return mMovement;
    }",,MovementMethod the movement method being used for this TextView. |||,,1
<android.net.TrafficStats: long getTxPackets(String)>,source,dsafe,"Return the number of packets transmitted on the specified interface since
 device boot. Statistics are measured at the network layer so both TCP and
 UDP usage are included.","    public static long getTxPackets(@NonNull String iface) {
        try {
            return getStatsService().getIfaceStats(iface, TYPE_TX_PACKETS);
        } catch (RemoteException e) {
            throw e.rethrowFromSystemServer();
        }
    }",,long The number of transmitted packets. |||,"iface String : The name of the interface.
This value must never be null . |||",-1
<android.graphics.drawable.Drawable: Region getTransparentRegion()>,source,dsafe,"Returns a Region representing the part of the Drawable that is completely
 transparent.  This can be used to perform drawing operations identifying
 which parts of the target will not change when rendering the Drawable.
 The default implementation returns null indicating no transparent
 region; subclasses can optionally override this to return an actual
 Region if they want to supply this optimization information but it is
 not required that they do so.","    public @Nullable Region getTransparentRegion() {
        return null;
    }",I don't understand how this function does anything,"Region Returns null if the Drawables has no transparent region to
 report else a Region holding the parts of the Drawable's bounds that
 are transparent. |||",,1
"<android.app.ActivityManager: List getRecentTasks(int,int)>",source,dsafe,"This method was deprecated
      in API level 21. As of Build.VERSION_CODES.LOLLIPOP this method is
 no longer available to third party applications: the introduction of
 document-centric recents means
 it can leak personal information to the caller.  For backwards compatibility
 it will still return a small subset of its data: at least the caller's
 own tasks (though see getAppTasks() for the correct supported
 way to retrieve that information) and possibly some other tasks
 such as home that are known to not be sensitive. Note: this method is only intended for debugging and presenting
 task management user interfaces .  This should never be used for
 core logic in an application such as deciding between different
 behaviors based on the information found here.  Such uses are not supported and will likely break in the future.  For
 example if multiple applications can be actively running at the
 same time assumptions made about the meaning of the data here for
 purposes of control flow will be incorrect.","    public List<RecentTaskInfo> getRecentTasks(int maxNum, int flags)
            throws SecurityException {
        try {
            if (maxNum < 0) {
                throw new IllegalArgumentException(""The requested number of tasks should be >= 0"");
            }
            return getTaskService().getRecentTasks(maxNum, flags, mContext.getUserId()).getList();
        } catch (RemoteException e) {
            throw e.rethrowFromSystemServer();
        }
    }","The manager/service paradigm is all over the place. Here the ""manager"" wrapper method is considered a source. How are we to interpret this? Every manager wrapper is a source? Or just the actual service that  does the sensitive stuff? Both?","List < ActivityManager.RecentTaskInfo > Returns a list of RecentTaskInfo records describing each of
 the recent tasks. |||","maxNum int : The maximum number of entries to return in the list.  The
actual number returned may be smaller depending on how many tasks the
user has started and the maximum number the system can remember. |||
flags int : Information about what to return.  May be any combination
of RECENT_WITH_EXCLUDED and RECENT_IGNORE_UNAVAILABLE . |||",1
<android.widget.ListPopupWindow: int getInputMethodMode()>,source,dsafe,Return the current value in setInputMethodMode(int) .,"    public int getInputMethodMode() {
        return mPopup.getInputMethodMode();
    }",Is this an example of sensitive metadata?,int |||,,11
<android.webkit.WebSettings: String getStandardFontFamily()>,source,dsafe,Gets the standard font family name.,public abstract String getStandardFontFamily();,Is font type really sensitive? Or is it just that anything dealing with a webview is sensitive?,String the standard font family name as a string |||,,1
<android.app.Application: void unregisterComponentCallbacks(ComponentCallbacks)>,none,dsafe,"Remove a ComponentCallbacks object that was previously registered
 with registerComponentCallbacks(android.content.ComponentCallbacks) .","    public void unregisterComponentCallbacks(ComponentCallbacks callback) {
        synchronized (mComponentCallbacks) {
            mComponentCallbacks.remove(callback);
        }
    }","This seems potentially malicious, but not sensitive. Is this right?",void,callback ComponentCallbacks |||,14
"<java.lang.Character: int toCodePoint(char,char)>",none,dsafe,"Converts the specified surrogate pair to its supplementary code
 point value. This method does not validate the specified
 surrogate pair. The caller must validate it using isSurrogatePair if necessary.",,,"int the supplementary code point composed from the
         specified surrogate pair. |||","high char : the high-surrogate code unit |||
low char : the low-surrogate code unit |||",1
"<android.provider.SearchRecentSuggestions: void saveRecentQuery(String,String)>",none,dsafe,"Add a query to the recent queries list.  Returns immediately performing the save
 in the background.","    public void saveRecentQuery(final String queryString, final String line2) {
        if (TextUtils.isEmpty(queryString)) {
            return;
        }
        if (!mTwoLineDisplay && !TextUtils.isEmpty(line2)) {
            throw new IllegalArgumentException();
        }

        new Thread(""saveRecentQuery"") {
            @Override
            public void run() {
                saveRecentQueryBlocking(queryString, line2);
                sWritesInProgress.release();
            }
        }.start();
    }",,void,"queryString String : The string as typed by the user.  This string will be displayed as
the suggestion and if the user clicks on the suggestion this string will be sent to your
searchable activity (as a new search query). |||
line2 String : If you have configured your recent suggestions provider with SearchRecentSuggestionsProvider.DATABASE_MODE_2LINES you can
pass a second line of text here.  It will be shown in a smaller font below the primary
suggestion.  When typing matches in either line of text will be displayed in the list.
If you did not configure two-line mode or if a given suggestion does not have any
additional text to display you can pass null here. |||",1
"<android.text.style.ScaleXSpan: void writeToParcel(Parcel,int)>",none,dsafe,Flatten this object in to a Parcel.,"    public void writeToParcel(@NonNull Parcel dest, int flags) {
        writeToParcelInternal(dest, flags);
    }",,void,"dest Parcel : This value must never be null . |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",3
<android.bluetooth.BluetoothHealth: boolean unregisterAppConfiguration(BluetoothHealthAppConfiguration)>,none,dsafe,"This method was deprecated
      in API level 29. Health Device Profile (HDP) and MCAP protocol are no longer used. New
 apps should use Bluetooth Low Energy based solutions such as BluetoothGatt  BluetoothAdapter#listenUsingL2capChannel() or BluetoothDevice#createL2capChannel(int) Unregister an application configuration that has been registered using registerSinkAppConfiguration(String int BluetoothHealthCallback) Requires Manifest.permission.BLUETOOTH permission.","    public boolean unregisterAppConfiguration(BluetoothHealthAppConfiguration config) {
        Log.e(TAG, ""unregisterAppConfiguration(): BluetoothHealth is deprecated"");
        return false;
    }",Are depricated methods usually rewritten like this?,boolean Success or failure. |||,config BluetoothHealthAppConfiguration : The health app configuration |||,14
<android.content.Loader: void stopLoading()>,none,dsafe,"This function will normally be called for you automatically by LoaderManager when the associated fragment/activity
 is being stopped.  When using a Loader with LoaderManager you must not call this method yourself or you will conflict
 with its management of the Loader. Stops delivery of updates until the next time startLoading() is called.
 Implementations should not invalidate their data at this point --
 clients are still free to use the last data the loader reported.  They will
 however typically stop reporting new data if the data changes; they can
 still monitor for changes but must not report them to the client until and
 if startLoading() is later called. This updates the Loader's internal state so that isStarted() will return the correct
 value and then calls the implementation's onStopLoading() . Must be called from the process's main thread.","    public void stopLoading() {
        mStarted = false;
        onStopLoading();
    }",,void,,11
<android.database.AbstractCursor: Bundle respond(Bundle)>,none,dsafe,"This is an out-of-band way for the the user of a cursor to communicate with the cursor. The
 structure of each bundle is entirely defined by the cursor. One use of this is to tell a cursor that it should retry its network request after it
 reported an error.","    public Bundle respond(Bundle extras) {
        return Bundle.EMPTY;
    }",It's hard for me to rectify the code and the description here,"Bundle extra values or Bundle.EMPTY .
         Never null . |||","extras Bundle : extra values or Bundle.EMPTY .
Never null . |||",1
<android.media.MediaRecorder: void setCamera(Camera)>,none,dsafe,"This method was deprecated
      in API level 21. Use getSurface() and the android.hardware.camera2 API instead. Sets a Camera to use for recording. Use this function to switch quickly between preview and capture mode without a teardown of
 the camera object. Camera.unlock() should be called before
 this. Must call before prepare() .",public native void setCamera(Camera c);,Will native code always be none?,void,c Camera : the Camera to use for recording |||,3
<android.graphics.drawable.Drawable: void setDither(boolean)>,sink,dsafe,"This method was deprecated
      in API level 23. This property is ignored. Set to true to have the drawable dither its colors when drawn to a
 device with fewer than 8-bits per color component.",public void setDither(boolean dither) {},Don’t know why this is a sink or why the method is empty,void,dither boolean |||,1
<android.graphics.drawable.BitmapDrawable: void setAntiAlias(boolean)>,sink,dsafe,"Enables or disables anti-aliasing for this drawable. Anti-aliasing affects
 the edges of the bitmap only so it applies only when the drawable is rotated.","    public void setAntiAlias(boolean aa) {
        mBitmapState.mPaint.setAntiAlias(aa);
        invalidateSelf();
    }",Don't understand this one,void,aa boolean : True if the bitmap should be anti-aliased false otherwise. |||,1
<android.net.http.SslCertificate: Bundle saveState(SslCertificate)>,sink,dsafe,Saves the certificate state to a bundle,"    public static Bundle saveState(SslCertificate certificate) {
        if (certificate == null) {
            return null;
        }
        Bundle bundle = new Bundle();
        bundle.putString(ISSUED_TO, certificate.getIssuedTo().getDName());
        bundle.putString(ISSUED_BY, certificate.getIssuedBy().getDName());
        bundle.putString(VALID_NOT_BEFORE, certificate.getValidNotBefore());
        bundle.putString(VALID_NOT_AFTER, certificate.getValidNotAfter());
        X509Certificate x509Certificate = certificate.mX509Certificate;
        if (x509Certificate != null) {
            try {
                bundle.putByteArray(X509_CERTIFICATE, x509Certificate.getEncoded());
            } catch (CertificateEncodingException ignored) {
            }
        }
        return bundle;
    }","Seems maybe sensitive, but the bundle didn't leave the app here did it?",Bundle A bundle with the certificate stored in it or null if fails |||,certificate SslCertificate : The SSL certificate to store |||,1
<android.widget.AdapterViewAnimator: void setSelection(int)>,sink,dsafe,"Sets the currently selected item. To support accessibility subclasses that
 override this method must invoke the overridden super method first.","    public void setSelection(int position) {
        setDisplayedChild(position);
    }",Not sure about this one either.,void,position int : Index (starting at 0) of the data item to be selected. |||,11
"<android.app.Activity: void startActivityForResult(Intent,int)>",sink,dsafe,Same as calling startActivityForResult(android.content.Intent int android.os.Bundle) with no options.,"    public void startActivityForResult(@RequiresPermission Intent intent, int requestCode) {
        startActivityForResult(intent, requestCode, null);
    }    

public void startActivityForResult(@RequiresPermission Intent intent, int requestCode,
            @Nullable Bundle options) {
        if (mParent == null) {
            options = transferSpringboardActivityOptions(options);
            Instrumentation.ActivityResult ar =
                mInstrumentation.execStartActivity(
                    this, mMainThread.getApplicationThread(), mToken, this,
                    intent, requestCode, options);
            if (ar != null) {
                mMainThread.sendActivityResult(
                    mToken, mEmbeddedID, requestCode, ar.getResultCode(),
                    ar.getResultData());
            }
            if (requestCode >= 0) {
                // If this start is requesting a result, we can avoid making
                // the activity visible until the result is received.  Setting
                // this code during onCreate(Bundle savedInstanceState) or onResume() will keep the
                // activity hidden during this time, to avoid flickering.
                // This can only be done when a result is requested because
                // that guarantees we will get information back when the
                // activity is finished, no matter what happens to it.
                mStartedActivity = true;
            }

            cancelInputsAndStartExitTransition(options);
            // TODO Consider clearing/flushing other event sources and events for child windows.
        } else {
            if (options != null) {
                mParent.startActivityFromChild(this, intent, requestCode, options);
            } else {
                // Note we want to go through this method for compatibility with
                // existing applications that may have overridden it.
                mParent.startActivityFromChild(this, intent, requestCode);
            }
        }
    }","How do we feel about Intents? Also this is an overloaded method. I've added the implementation in the main overloaded method. How will we deal with these? Also, this code contains a good amount of comments. Maybe we could utilize this later?",void,"intent Intent : The intent to start. |||
requestCode int : If >= 0 this code will be returned in
onActivityResult() when the activity exits. |||",1
"<android.content.Intent: Intent putExtra(String,byte)>",sink,dsafe,"Add extended data to the intent.  The name must include a package
 prefix for example the app com.android.contacts would use names
 like ""com.android.contacts.ShowAll"".","    public @NonNull Intent putExtra(String name, long value) {
        if (mExtras == null) {
            mExtras = new Bundle();
        }
        mExtras.putLong(name, value);
        return this;
    }",Is the Intent the sink? Or the callback function that take the Intent as a parameter? Or both?,"Intent Returns the same Intent object for chaining multiple calls
 into a single statement.

 This value will never be null . |||","name String : The name of the extra data with package prefix. |||
value byte : The byte array data value.
This value may be null . |||",1
<android.database.sqlite.SQLiteDatabase: long setMaximumSize(long)>,sink,dsafe,"Sets the maximum size the database will grow to. The maximum size cannot
 be set below the current size.","    public long setMaximumSize(long numBytes) {
        long pageSize = getPageSize();
        long numPages = numBytes / pageSize;
        // If numBytes isn't a multiple of pageSize, bump up a page
        if ((numBytes % pageSize) != 0) {
            numPages++;
        }
        long newPageCount = DatabaseUtils.longForQuery(this, ""PRAGMA max_page_count = "" + numPages,
                null);
        return newPageCount * pageSize;
    }",This doesn't seem like a sensitive data sink.,long the new maximum database size |||,numBytes long : the maximum database size in bytes |||,1
<android.bluetooth.BluetoothDevice: boolean setPairingConfirmation(boolean)>,sink,dsafe,Confirm passkey for PAIRING_VARIANT_PASSKEY_CONFIRMATION pairing. Requires Manifest.permission.BLUETOOTH_PRIVILEGED,"    public boolean setPairingConfirmation(boolean confirm) {
        final IBluetooth service = sService;
        if (service == null) {
            Log.e(TAG, ""BT not enabled. Cannot set pairing confirmation"");
            return false;
        }
        try {
            return service.setPairingConfirmation(this, confirm);
        } catch (RemoteException e) {
            Log.e(TAG, """", e);
        }
        return false;
    }", boolean value a sink here?,boolean true confirmation has been sent out false for error |||,confirm boolean |||,19
